"","id","login"
"1","1","Certified Mail and Distribution Systems Manager"
"2","2","Certified Mail Manager"
"3","3","Certified Fraud Examiner"
"4","4","Certified IRA Services Professional"
"5","5","Certified International Tax Analyst"
"6","6","Certified Income Specialist"
"7","7","Linux Server Professional Certification - Level 1"
"8","8","HDI Certified Customer Service Representative"
"9","9","Avid Certified System Administrator: iNEWS"
"10","10","Avid Certified Support Representative: Elite"
"11","11","Citrix ShareFile Certified"
"12","12","HDI Desktop Advanced Support Technician"
"13","13","CCNP Service Provider"
"14","14","KCS Principles"
"15","15","HDI Certified Instructor"
"16","16","HDI Problem Management Professional"
"17","17","Apple Certified Support Professional (ACSP) 10.15"
"18","18","SMAX Certified Specialist"
"19","19","HDI Certified Support Center Team Lead"
"20","20","CompTIA CTT+"
"21","21","HDI Support Center Analyst"
"22","22","Certified Healthcare Technology Specialist -  Technical/Software Support Staff"
"23","23","Associate in Information Technology"
"24","24","Avid Certified Support Representative: Pro Tools"
"25","25","Avid Certified Support Representative: ISIS"
"26","26","Avid Certified Support Representative: MediaCentral | Asset Management"
"27","27","Avid Certified Support Representative: Media Composer"
"28","28","Citrix Endpoint Management Certified"
"29","29","Citrix Virtual Apps and Desktops Service on Citrix Cloud Certified"
"30","30","Citrix Virtual Apps and Desktops Service Integration with Microsoft Azure Certified"
"31","31","Microsoft Certified: Dynamics 365 Customer Service Functional Consultant Associate"
"32","32","SAP Certified Application Associate - SAP Sales Cloud 1911"
"33","33","SAP Certified Application Associate - SAP CPQ Implementation"
"34","34","Computer Service Technician"
"35","35","KCS Foundation"
"36","36","Juniper Networks Certified Certified Data Center Design Professional"
"37","37","Certified Wireless Design Professional"
"38","38","Certified Wireless Technology Specialist"
"39","39","Apple Certified iOS Technician (ACiT) Certification (2019)"
"40","40","Avid Certified User: iNEWS"
"41","41","Avid Certified Support Representative: Avid NEXIS"
"42","42","HDI Support Center Team Lead"
"43","43","Certified Cyber Security Professional - Associate/Practitioner"
"44","44","Certified Cyber Security Professional - Foundation"
"45","45","Microsoft Certified: Dynamics 365 Fundamentals"
"46","46","CompTIA IT Fundamentals"
"47","47","Network Systems Technician"
"48","48","Specialist - Implementation Engineer, Campus Networking Version 1.0"
"49","49","Web Foundations Associate"
"50","50","WOW Certified Professional Web Designer"
"51","51","Certified Usability Analyst"
"52","52","CIW Web Security Specialist"
"53","53","CIW Web Security Professional"
"54","54","CIW Perl Specialist"
"55","55","Oracle WebLogic Server 12c Essentials"
"56","56","Adobe Campaign Standard Developer"
"57","57","IBM Certified Specialist - FileNet Content Manager V5.2"
"58","58","Cisco Certified DevNet Professional"
"59","59","Big Data Foundation Certification"
"60","60","Professional Scrum Master level I"
"61","61","CWP Associate Certification"
"62","62","Certified Web Designer Associate"
"63","63","Site Development Associate"
"64","64","WOW Certified Web Consultant"
"65","65","WOW Certified Professional Web Developer"
"66","66","Certified Associate Webmaster"
"67","67","CIW Certified Web Design Professional"
"68","68","CIW E-Commerce Specialist"
"69","69","Certified Internet Webmaster"
"70","70","AEM 6 Lead Developer"
"71","71","Adobe Experience Manager Forms Developer"
"72","72","SAP Certified Technology Associate - SAP Fiori System Administration"
"73","73","Oracle Application Express 18: Developing Web Applications"
"74","74","Oracle WebLogic Server 12c: Administration I"
"75","75","IBM Certified Associate Developer - Rational Application Developer V8"
"76","76","Adobe Experience Manager Architect"
"77","77","Adobe Campaign Classic Developer"
"78","78","Adobe Illustrator CC 2015"
"79","79","GIAC Certified Web Application Defender"
"80","80","Certified Webmaster Professional"
"81","81","WOW Certified Professional Webmaster"
"82","82","WOW Certified Web Developer Apprentice"
"83","83","Certified Web Associate Webmaster"
"84","84","Certified Web Developer Associate"
"85","85","CIW Web Development Professional"
"86","86","CIW JavaScript Specialist"
"87","87","CIW Web Design Specialist"
"88","88","CIW Web Security Associate"
"89","89","Web Application Developer Associate 10.4"
"90","90","Adobe Analytics Developer"
"91","91","Professional Scrum Master level II"
"92","92","Cisco Certified DevNet Associate"
"93","93","WebYoda Certified Webmaster"
"94","94","WebYoda Associate Webmaster"
"95","95","Professional Scrum Master level III"
"96","96","Oracle Cloud Platform Content and Experience 2020 Specialist"
"97","97","Certified Photogrammetric Technologist"
"98","98","Certified Photogrammetrist (ASPRS)"
"99","99","GEOINT Professional Certification Imagery Science"
"100","100","Autodesk Certified Professional in Revit for Structural Design"
"101","101","LEED AP Building Design + Construction"
"102","102","Certified in Plumbing Design"
"103","103","Autodesk Certified Professional in Revit for Architectural Design"
"104","104","Certified Design Drafter"
"105","105","Certified Aging-In-Place Specialist"
"106","106","Architectual Certified Drafter"
"107","107","Architectural Apprentice Drafter"
"108","108","Autodesk Certified Professional in Civil 3D for Infrastructure Design"
"109","109","Certified Interconnect Designer"
"110","110","Advanced Certified Interconnect Designer"
"111","111","Autodesk Certified Professional in Revit for Electrical Design"
"112","112","Mechanical Certified Drafter"
"113","113","Certified PDM Administrator Professional"
"114","114","Certified SOLIDWORKS Associate - Simulation"
"115","115","Certified SOLIDWORKS Expert - Simulation"
"116","116","Autodesk Certified Professional in Inventor for Mechanical Design"
"117","117","Certified SOLIDWORKS Associate - Electrical"
"118","118","Autodesk Certified Professional in Revit for Mechanical Design"
"119","119","Autodesk Certified Professional in Design for Manufacturing"
"120","120","Certified Additive Manufacturing Associate"
"121","121","Certified SOLIDWORKS Advanced Professional Drawing Tools"
"122","122","Certified SOLIDWORKS Professional API"
"123","123","Certified SOLIDWORKS Professional - Academic"
"124","124","Certified SOLIDWORKS Professional Model Based Design"
"125","125","Autodesk Certified Expert in Generative Design for Manufacturing"
"126","126","Certified SOLIDWORKS Professional - Simulation"
"127","127","Certified SOLIDWORKS Professional - Flow Simulation"
"128","128","Autodesk Certified Associate in CAD for Mechanical Design"
"129","129","Mechanical Apprentice Drafter"
"130","130","Certified SOLIDWORKS Advanced Professional Surfacing"
"131","131","Certified SOLIDWORKS Associate - Academic"
"132","132","Certified SOLIDWORKS Associate Sustainability"
"133","133","Certified SOLIDWORKS Expert- Mechanical Design"
"134","134","Autodesk Certified Professional in AutoCAD for Design and Drafting"
"135","135","Certified SOLIDWORKS Advanced Professional Sheet Metal"
"136","136","Certified SOLIDWORKS Advanced Professional Weldments"
"137","137","Certified SOLIDWORKS Professional CAM"
"138","138","Certified SOLIDWORKS Advanced Professional Mold Making"
"139","139","Certified SOLIDWORKS Professional - Mechanical Design"
"140","140","Certified SOLIDWORKS Associate"
"141","141","SpaceTEC Certified Aerospace Technician"
"142","142","SpaceTEC Vehicle Processing Certification"
"143","143","SpaceTEC Composites Certification"
"144","144","Certification in Aerospace Physiology"
"145","145","SpaceTEC Aerospace Manufacturing"
"146","146","Certified in Green Plumbing Design"
"147","147","Certified Plumbing Design Technician"
