"document","verb_count","verb_sum"
"GAT_bad_performer_character.txt",3,7.42857142857143
"GAT_good_performer_character.txt",3,7.42857142857143
"GAT_bad_performer_depression.txt",8,5.97368421052632
"GAT_good_performer_depression.txt",8,5.8961038961039
"GAT_bad_performer_negative_affect.txt",1,0.0869565217391304
"GAT_bad_performer_positive_affect.txt",1,19.0869565217391
"GAT_good_performer_positive_affect.txt",2,17.64
"GAT_bad_performer_catastrophizing.txt",14,14.2777777777778
"GAT_good_performer_catastrophizing.txt",14,14.0181818181818
"GAT_good_performer_family_support.txt",6,3.09090909090909
"GAT_good_performer_organizational_trust.txt",12,10.2272727272727
"GAT_bad_performer_friendship.txt",7,15.3684210526316
"GAT_good_performer_friendship.txt",8,15.3947368421053
"GAT_good_performer_optimism.txt",7,1.8125
"GAT_bad_performer_family_satisfaction.txt",2,25.9411764705882
"GAT_good_performer_family_satisfaction.txt",2,29.4
"GAT_bad_performer_life_meaning.txt",5,0.289473684210526
"GAT_good_performer_life_meaning.txt",5,0.289473684210526
"GAT_bad_performer_adaptability.txt",3,1.14814814814815
"GAT_good_performer_adaptability.txt",3,1.14814814814815
"GAT_bad_performer_family_support.txt",5,2.31818181818182
"GAT_bad_performer_optimism.txt",6,1.28125
"GAT_bad_performer_bad_coping.txt",3,1.55555555555556
"GAT_good_performer_bad_coping.txt",3,1.5
"GAT_bad_performer_good_coping.txt",13,12.6415094339623
"GAT_good_performer_good_coping.txt",13,12.8846153846154
"GAT_good_performer_loneliness.txt",3,2.2
"GAT_bad_performer_work_engagement.txt",5,6.26470588235294
"GAT_good_performer_work_engagement.txt",5,6.45454545454545
"GAT_bad_performer_organizational_trust.txt",11,9.84090909090909
"GAT_bad_performer_family_closeness.txt",1,3.75
"GAT_bad_performer_loneliness.txt",3,2.2
"GAT_good_performer_family_closeness.txt",1,4.28571428571429
"GAT_bad_performer_non-work_interests.txt",4,17.75
"GAT_good_performer_non-work_interests.txt",4,19.3636363636364
