Most Mentioned Companies
1392 documents  for All Dates

Company,Document Count
Mylan N.V.,161
Quintiles IMS Incorporated,39
BioDelivery Sciences International Inc,24
Eli Lilly and Co,23
Mylan Pharmaceuticals Inc,21
GlaxoSmithKline PLC,20
"Best Practices, LLC",17
Boehringer Ingelheim GmbH,16
Arena Pharmaceuticals Inc,14
BioTime Inc,13
Cytokinetics Inc,13
Johnson & Johnson,13
Progenics Pharmaceuticals Inc,13
Boston Scientific Corporation,12
Famy Care Ltd,12
Teva Pharmaceutical Industries Ltd,12
"Auxilium Pharmaceuticals, Inc.",11
FitLife Brands Inc.,11
Merck KGaA,11
North American Spine Society,11
NewLink Genetics Corporation,11
Par Pharmaceutical Holdings Inc,11
Merck & Co. Inc.,11
"Innoviva, Inc.",10
Agenus Inc,10
Pfizer Inc,10
Pharmacyclics Inc,10
Actavis Group hf,10
Warner Chilcott plc,10
Acorda Therapeutics Inc,9
Ohr Pharmaceutical Inc,9
Puma Biotechnology Inc.,9
Molecular Templates Inc,9
"ARIAD Pharmaceuticals, Inc.",8
American Society of Clinical Oncology,8
BioCryst Pharmaceuticals Inc,8
GTx Inc,8
"Intercept Pharmaceuticals, Inc.",8
Perrigo Company PLC,8
Salix Pharmaceuticals Ltd,8
Allergan PLC,8
Ajanta Pharma Ltd,7
Amgen Inc,7
"Catalyst Pharmaceuticals, Inc.",7
"Cumberland Pharmaceuticals, Inc.",7
ANI Pharmaceuticals Inc.,7
"Acura Pharmaceuticals, Inc.",7
"Orexigen Therapeutics, Inc.",7
Provectus Biopharmaceuticals Inc.,7
AbbVie Inc.,6
Anacor Pharmaceuticals Inc,6
"Asterias Biotherapeutics, Inc.",6
Bristol-Myers Squibb Co,6
Nutranomics Inc.,6
Melinta Therapeutics Inc,6
Eisai Co Ltd,6
Enanta Pharmaceuticals Inc.,6
Genentech Inc,6
Teligent Inc.,6
Lipocine Inc.,6
Antares Pharma Inc,6
KYTHERA Biopharmaceuticals Inc.,6
Receptos Inc.,6
"Rockwell Medical, Inc.",6
Bausch Health Cos Inc,6
Agios Pharmaceuticals Inc,5
"Retrophin, Inc.",5
Heron Therapeutics Inc.,5
Ardelyx Inc,5
"TG Therapeutics, Inc.",5
Cubist Pharmaceuticals Inc,5
Advaxis Inc,5
ARCA biopharma Inc,5
Biogen Inc.,5
Illumina Inc,5
Mallinckrodt PLC,5
Xtant Medical Holdings Inc.,5
Navidea Biopharmaceuticals Inc.,5
"Inergetics, Inc.",5
Synergy Pharmaceuticals Inc,5
Galectin Therapeutics Inc.,5
"St. Jude Medical, Inc.",5
Catalyst Biosciences Inc.,5
American Academy of Orthopaedic Surgeons,4
Abbott Laboratories Inc.,4
Amicus Therapeutics Inc,4
Array BioPharma Inc,4
American Society of Hematology,4
Breckenridge Pharmaceutical Inc.,4
Bayer AG,4
Ampio Pharmaceuticals Inc.,4
"Circadiance, LLC",4
Cook Group Inc,4
Insmed Inc.,4
Health Canada,4
Corepharma L.L.C.,4
BioLife Solutions Inc,4
Endo International PLC,4
Flexion Therapeutics Inc.,4
Gilead Sciences Inc,4


Search Summary,
Text,ns=C22 and (hlp=((new device or new devices or new drug or new drugs or new product or new products) and (announced the launch or announces the launch or launch or launches or launched or announced new or announces new or announces launch or introduce or introduces or introduced)) or ns=(CDINN or CGVFIL)) and in=(I257 or I372) and fmt=article and date from 01/01/2013 to 12/31/2016 and roo=USA and re=USA and la=en not (ns=(CMARKR or c01 or CIPROF or C41 or C18 or C133 or NRMF or NNAM or NOBT or NLIST or NHOC or C1521 or NAMT) or in=IDDTECH or Drug Administration announced approval)
Date,All Dates
Source,Not US Food and Drug Administration News (Abstracts)
Author,All Authors
Company, Not U.S. Food and Drug Administration
Subject,All Subjects
Industry,All Industries
Region,United States Not China Not Japan Not Europe
Language,English
Results Found,"1,392"
Timestamp,30 April 2019 15:14
"© 2019 Factiva, Inc.  All rights reserved."
