Most Mentioned Industries
1392 documents  for All Dates

Industry,Document Count
Pharmaceuticals,708
Biotechnology,478
Generic/Biosimilar Drugs,186
Diagnostic/Therapeutic Devices,141
Biopharmaceuticals,62
Medical Equipment/Supplies,58
Health Care/Life Sciences,35
Medical Devices/Apparatus,31
Chemicals,28
Drug Discovery/Development,25
Antibiotics,14
Diet/Nutritional Drugs,12
Cardiovascular Drugs,9
Retail,9
Marijuana Growing/Cultivation,8
Vaccines,6
Food/Beverages,5
Respiratory/Allergy Treatments,4
Cloud Computing,4
Hormone Products,4
Industrial Goods,4
Beef Cattle Farming,3
Dermatological Treatments,3
Plastics Products,3
Pharmacies/Drug Stores,3
Digital Marketing,3
Diabetes Drugs,3
Organic Farming,3
Surgical Devices,3
Poultry Farming,2
Cancer Drugs,2
Environmental Control Systems,2
Poultry Processing,2
Household/Institutional/Street Furniture,2
Biological Therapy,2
Consumer Goods,2
Real Estate/Construction,2
Food Products,2
Investing/Securities,2
Marketing,2
Organic Food,2
Medical/Surgical Materials,2
Hog/Pig Farming,1
Energy,1
Crude Oil/Natural Gas Upstream Operations,1
Paints/Coatings,1
Pesticides,1
Anti-depressants,1
Cosmetics/Toiletries,1
Software,1
Industrial Electrical Equipment,1
Military Aircraft,1
Animal Feed,1
Breakfast Cereals,1
Cookies/Crackers,1
Wholesalers,1
Supermarkets/Grocery Stores,1
Limited-service Eating Places,1
Unit Trusts/Mutual Funds,1
Financial Investments,1
Dental Care,1
Hospital Care,1
Veterinary Services,1
Aerospace/Defense,1
Alternative Fuels,1
Alternative Investments,1
Business/Consumer Services,1
Clothing/Textiles,1
Business Consultancy,1
Medical Diagnostic Equipment/Supplies,1
Specialized Drugs/Medications,1
Eyewear/Ocular Implants,1
Anti-infectives (Discontinued from 15th November 2016),1
Media/Entertainment,1
Medicaid,1
Medical Research Services,1
Mobile Applications Software,1
Newspaper/Magazine Printing,1
Packaging,1
Pet Products,1
Healthcare Information Technology,1
Real Estate,1
Supply Chain Management Software,1
Smoking Treatments (Discontinued from 13th November 2018),1
Social Media Platforms/Tools,1
Drones,1


Search Summary,
Text,ns=C22 and (hlp=((new device or new devices or new drug or new drugs or new product or new products) and (announced the launch or announces the launch or launch or launches or launched or announced new or announces new or announces launch or introduce or introduces or introduced)) or ns=(CDINN or CGVFIL)) and in=(I257 or I372) and fmt=article and date from 01/01/2013 to 12/31/2016 and roo=USA and re=USA and la=en not (ns=(CMARKR or c01 or CIPROF or C41 or C18 or C133 or NRMF or NNAM or NOBT or NLIST or NHOC or C1521 or NAMT) or in=IDDTECH or Drug Administration announced approval)
Date,All Dates
Source,Not US Food and Drug Administration News (Abstracts)
Author,All Authors
Company, Not U.S. Food and Drug Administration
Subject,All Subjects
Industry,All Industries
Region,United States Not China Not Japan Not Europe
Language,English
Results Found,"1,392"
Timestamp,30 April 2019 15:14
"© 2019 Factiva, Inc.  All rights reserved."
