,EIN,NCCSKEY,FISYR,NAME,STATE,NTEE1,ADDRESS,CITY,ZIP,SUBSECCD,NTMAJ5,NTMAJ10,NTMAJ12,MAJGRPB,CONT
2,10130427,10130427201906.0,2019,BRIDGTON HOSPITAL,ME,E,10 HOSPITAL DR,BRIDGTON,04009-1148,3,HE,HE,EH,EH,541003.0
11,10198331,10198331201909.0,2019,MAINE COAST REGIONAL HEALTH FACILITIES,ME,E,43 WHITING HILL RD,BREWER,04412-1005,3,HE,HE,EH,EH,775700.0
13,10199596,10199596201909.0,2019,WOMENS BOARD OF THE MAINE MEDICAL CENTER,ME,E,22 BRAMHALL ST,PORTLAND,04102-3134,3,HE,HE,HE,E,50.0
24,10211494,10211494201906.0,2019,CENTRAL MAINE MEDICAL CENTER,ME,E,PO BOX 4500,LEWISTON,04243-4500,3,HE,HE,EH,EH,1217546.0
27,10211501,10211501201909.0,2019,EASTERN MAINE HEALTHCARE SYSTEMS,ME,E,43 WHITING HILL RD,BREWER,04412-1005,3,HE,HE,EH,EH,8405141.0
34,10211517,10211517201904.0,2019,CEDARS NURSING CARE CENTER INC,ME,E,630 OCEAN AVE,PORTLAND,04103-2704,3,HE,HE,HE,E,0.0
38,10211534,10211534201909.0,2019,MERCY HOSPITAL,ME,E,43 WHITING HILL RD,BREWER,04412-1005,3,HE,HE,EH,EH,3891418.0
44,10211546,10211546201912.0,2019,COMMUNITY HEALTH & NURSING SERVICES,ME,E,60 BARIBEAU DR,BRUNSWICK,04011-3218,3,HE,HE,HE,E,75975.0
45,10211551,10211551201912.0,2019,ST MARYS REGIONAL MEDICAL CENTER,ME,E,PO BOX 7291,LEWISTON,04243-7291,3,HE,HE,EH,EH,1754611.0
53,10211783,10211783201912.0,2019,CALAIS REGIONAL HOSPITAL,ME,E,24 HOSPITAL LN,CALAIS,04619-1329,3,HE,HE,EH,EH,29643.0
55,10211797,10211797201904.0,2019,MOUNT DESERT ISLAND HOSPITAL,ME,E,10 WAYMAN LN,BAR HARBOR,04609-1625,3,HE,HE,EH,EH,1499737.0
56,10211798,10211798201912.0,2019,MOUNT DESERT NURSING ASSOCIATION,ME,E,PO BOX 397,NE HARBOR,04662-0397,3,HE,HE,HE,E,225582.0
62,10212434,10212434201906.0,2019,CAMDEN AREA DISTRICT NURSING ASSOCIATION,ME,E,PO BOX 547,CAMDEN,04843-0547,3,HE,HE,HE,E,147781.0
63,10212435,10212435201912.0,2019,ST JOSEPH HOSPITAL,ME,E,PO BOX 403,BANGOR,04402-0403,3,HE,HE,EH,EH,7289.0
66,10212444,10212444201912.0,2019,YORK HOSPITAL,ME,E,15 HOSPITAL DR,YORK,03909-1011,3,HE,HE,EH,EH,2169223.0
71,10213361,10213361202006.0,2020,ROCKLAND DISTRICT NURSING ASSN INC,ME,E,PO BOX 1713,ROCKLAND,04841-1713,3,HE,HE,HE,E,126378.0
72,10213976,10213976201909.0,2019,QUARRY HILL,ME,E,PO BOX 287,BELFAST,04915-0287,3,HE,HE,HE,E,20310.0
