"","EIN","FisYr","NAME","STATE","CAT","CONT"
"1",10216933,"2000","MAINE MEDICAL ASSOCIATION","ME","HE",95989
"2",10227184,"2000","ANDROSCOGGIN HOME HEALTH SERVICES INC","ME","HE",510385
"3",10278420,"2000","AMERICAN ACADEMY OF FAMILY PHYSICIANS","ME","HE",10000
"4",10283794,"2000","MAINE HEALTH CARE ASSOC","ME","HE",147297
"5",10283797,"2000","MAINE ASSOCIATION OF SUBSTANCE ABUSE PROGRAMS","ME","HE",293188
"6",10378461,"2000","MAINE SOCIETY OF HOSPITAL PHARMACISTS ATTN-JOHN M WHALEN 671","ME","HE",11600
"7",10453248,"2000","CONSUMERS FOR AFFORDABLE HEALTH CARE","ME","HE",630
"8",10470270,"2000","ALCOHOLICS ANNONYMOUS CENTRAL SERVICE OFFICE","ME","HE",38844
"9",10486021,"2000","MAINE PSYCHOLOGICAL ASSOCIATION","ME","HE",11100
"10",10502451,"2000","","","HE",13474
"11",16019308,"2000","MAINE DENTAL ASSOCIATION","ME","HE",4100
"12",20223176,"2000","NEW HAMPSHIRE MEDICAL SOCIETY","NH","HE",40384
"13",20242390,"2000","AMERICAN ACADEMY OF FAMILY PHYSICIANS","NH","HE",5000
"14",20359607,"2000","NEW HAMPSHIRE OCCUPATIONAL THERAPY ASSOCIATION","NH","HE",444
"15",20439740,"2000","PORTSMOUTH REGIONAL HOSPITAL MEDICAL STAFF EDUCATIONAL FUND","NH","HE",14214
"16",20489150,"2000","NORTHEAST DELTA DENTAL FOUNDATION INC","NH","HE",95378
"17",20513876,"2000","DAY ORION INDIVIDUAL TREATMENT INC","NH","HE",40
"18",30173180,"2000","VERMONT STATE NURSES ASSOCIATION INC","VT","HE",1800
"19",30218615,"2000","VERMONT ASSOCIATION OF HOSPITALS AND HEALTH SYSTEMS INC","VT","HE",39822
"20",30277094,"2000","UNITED COMMUNITY PROPERTIES INC","VT","HE",4770
"21",30326364,"2000","PLANNED PARENTHOOD OF NORTHERN NEW ENGLAND","VT","HE",38661
"22",30355570,"2000","VERMONT COUNCIL OF DEVELOPMENTAL AND MENTAL HEALTH SERVICES INC","VT","HE",17002
"23",36011302,"2000","VERMONT PHARMICISTS ASSOCIATION","VT","HE",5500
"24",41590155,"2000","MASSACHUSETTS DENTAL SOCIETY","MA","HE",5384497
"25",41591164,"2000","MASSACHUSETTS NURSES ASSOCIATION","MA","HE",152065
"26",42140119,"2000","SACRED HEART HOME","MA","HE",10245
"27",42180666,"2000","CAPTAIN CHARLES LEONARD HOUSE INC","MA","HE",3663
"28",42446458,"2000","MASSACHUSETTS VETERINARY MEDICAL ASSOCIATION","MA","HE",2924
"29",42483879,"2000","MASSACHUSETTS MEDICAL SOCIETY","MA","HE",5000
"30",42551359,"2000","MASSACHUSETTS ACADEMY OF DERMATOLOGY INC","MA","HE",22250
"31",42625224,"2000","WEST BROOKFIELD RESCUE SQUAD","MA","HE",51573
"32",42658180,"2000","MASSACHUSETTS ORGANIZATION OF NURSE EXECUTIVES","MA","HE",18632
"33",42688249,"2000","TETRAHEDRON INC","ID","HE",242
"34",42695422,"2000","AMERICAN VETERINARY MEDICAL ASSOCIATION","MA","HE",200
"35",42962528,"2000","NEW ENGLAND SOCIETY OF PATHOLOGISTS INC","MA","HE",2000
"36",43156335,"2000","MASSACHUSETTS COALITION OF NURSE PRACTITIONERS","MA","HE",1890
"37",43167608,"2000","CAMBRIDGE HOSPITAL PROFESSIONAL SERVICES CORPORATION INC","MA","HE",411948
"38",43249667,"2000","LAKEVILLE HAUNTED HOUSE INC","MA","HE",37787
"39",43345676,"2000","MASSACHUSETTS MEDICAL DEVICE INDUSTRY COUNCIL INC","MA","HE",60000
"40",43397716,"2000","CARITAS NORWOOD HOSPITAL INC","MA","HE",97577
"41",43492115,"2000","MULTICULTURAL NEUROBEHAVIORAL REHABILITATION CENTER INC","MA","HE",243803
"42",46050367,"2000","HEALTH PHYSICS SOCIETY","VA","HE",4194
"43",46073417,"2000","NEW ENGLAND COUNCIL OF CHILD PSYCHIATRY INC","MA","HE",5200
"44",46112937,"2000","BOSTON RUBBER GROUP INC","CT","HE",577
"45",46406547,"2000","AMERICAN ASSOCIATION FOR THORACIC SURGERY","MA","HE",596050
"46",50207930,"2000","R I CENTRAL DIRECTORY FOR NURSES INC ROOM 707","RI","HE",310552
"47",50275206,"2000","HOSPITAL ASSOCIATION OF RHODE ISLAND","RI","HE",339497
"48",50347684,"2000","R I HEALTH CARE ASSOCIATION","RI","HE",7885
"49",56015705,"2000","AMERICAN ACADEMY OF FAMILY PHYSICIANS-RHODE ISLAND CHAPTER","RI","HE",17950
"50",56015708,"2000","R I NURSERYMENS ASSOCIATION INC","RI","HE",32364
"51",60646696,"2000","JOHNSON MEMORIAL HOSPITAL INC","CT","HE",940178
"52",60646771,"2000","INDEPENDENT ORDER OF ODD FELLOWS","CT","HE",30432
"53",60664601,"2000","ALUMNAE ASSOCIATION HARTFORD HOSPITAL SCHOOL OF NURSING INC","CT","HE",1542
"54",60665164,"2000","CONNECTICUT STATE MEDICAL SOCIETY INC","CT","HE",50780
"55",61322412,"2000","CONNECTICUT AL-ANON FAMILY GROUPS","CT","HE",20026
"56",61369714,"2000","JHA HEALTH CARE INC","CT","HE",70632
"57",61442786,"2000","ONONDAGA COUNTY DENTAL SOCIETY","NY","HE",400
"58",61455101,"2000","CAROLINE HOUSE INC","CT","HE",190704
"59",61601586,"2000","","","HE",16000
"60",66025659,"2000","WATERBURY MEDICAL ASSOCIATION INC","CT","HE",1800
"61",66048373,"2000","CONNECTICUT ACADEMY OF FAMILY PHYSICIANS","CT","HE",4605
"62",66056201,"2000","CONNECTICUT DENTAL HYGIENISTS ASSOCIATION","CT","HE",35688
"63",66069989,"2000","AMERICAN REGISTRY OF MEDICAL ASSISTANTS","MA","HE",20
"64",111068640,"2000","NASSAU COUNTY MEDICAL SOCIETY INC","NY","HE",189
"65",111143384,"2000","NURSES ASSOCIATION OF THE COUNTIES OF LONG ISLAND INC","NY","HE",1120
"66",112468521,"2000","SHIRLEY COMMUNITY AMBULANCE CORP C O H PFISTER","NY","HE",313385
"67",112496631,"2000","NASSAU HOSPITAL OFFICE CORP","NY","HE",5129443
"68",112540657,"2000","HEALTH PROMOTION FOUNDATION INC","FL","HE",291876
"69",112580945,"2000","COUNCIL OF LICENSED PHYSIOTHERAPISTS OF NEW YORK STATE","NY","HE",2525
"70",112665405,"2000","ROCKAWAY POINT VOLUNTEER EMERGENCY SERVICES INC","NY","HE",120870
"71",112765051,"2000","ASSOCIATION OF HOSPITAL RISK MANAGEMENT OF NEW YORK INC","NY","HE",12200
"72",113007199,"2000","NEW YORK CHIROPRACTIC COUNCIL INC","NY","HE",650
"73",113222899,"2000","INDEPENDENT RAILWAY SUPERVISORS ASSOC LODGE 1 HEALTH & WELFARE FUN","NY","HE",23630
"74",113434265,"2000","NASSAU SUFFOLK HOSPITAL COUNCIL INC","NY","HE",474471
"75",113524781,"2000","ALUMNAE OF ST VINCENTS HOSPITAL SCHOOL OF NURSING INC","NY","HE",33692
"76",113527438,"2000","DR SUSAN SMITH MCKINNEY NURSING & REHABILITATION CTR AUXILIARY INC","NY","HE",6545
"77",116030674,"2000","NEW YORK STATE SOCIETY OF MEDICAL ASSISTANTS INC","NY","HE",455
"78",131030750,"2000","NEW YORK COUNTY MEDICAL SOCIETY","NY","HE",16766
"79",131030760,"2000","MEDICAL SOCIETY OF THE STATE OF NEW YORK","NY","HE",1412307
"80",131510821,"2000","LOCAL 1199 DRUG-HOSP & HEALTH CARE EMPLOYEES UNION","NY","HE",5060720
"81",131512769,"2000","AMERICAN PHYSICAL THERAPY ASSOCIATION","VA","HE",66203
"82",131603160,"2000","AMERICAN MEDICAL WOMENS ASSOCIATION INC","VA","HE",929189
"83",131683514,"2000","AMERICAN ASSOCIATION OF OCCUPATIONAL HEALTH NURSES INC","GA","HE",83594
"84",131893923,"2000","AMERICAN NURSES ASSOCIATION INC","DC","HE",605459
"85",131926775,"2000","INTERNATIONAL COPPER ASSOCIATION LTD","NY","HE",472873
"86",131956620,"2000","NEW YORK STATE PSYCHOLOGICAL ASSOCIATION INC","NY","HE",57283
"87",131964856,"2000","TEAMSTERS JOINT COUNCIL NO 16 AND MGMT HOSPITALIZATION TR FUND","NY","HE",99479
"88",132772832,"2000","NATIONAL GAY & LESBIAN TASK FORCE","DC","HE",186312
"89",132930560,"2000","PSYCHIATRIC SOCIETY OF WESTCHESTER","NY","HE",8550
"90",133052488,"2000","NATIONAL SOCIETY OF GENETIC COUNSELORS INC","PA","HE",64499
"91",133090456,"2000","NEW YORK HEALTH PRODUCTS COUNCIL","NY","HE",53350
"92",133095074,"2000","SMOKELESS TOBACCO RESEARCH COUNCIL INC","NY","HE",48537
"93",133354793,"2000","W P FAIST VOLUNTEER AMBULANCE CORP","NY","HE",204263
"94",133492973,"2000","RADIOLOGICAL & MEDICAL PHYSICS SOCIETY OF N Y INC","NY","HE",5260
"95",133539048,"2000","PLANNED PARENTHOOD ACTION FUND INC","NY","HE",3866208
"96",133644302,"2000","ALUMNI ASSOCIATION OF THE HOSPITAL FOR JOINT DISEASES","NY","HE",39350
"97",133671667,"2000","NEW YORK JOBS WITH JUSTICE HEALTH CARE CAMPAIGN","NY","HE",37528
"98",133723183,"2000","AMERICAN ACADEMY OF PHARMACEUTICAL PHYSICIANS INC","NC","HE",79308
"99",133800331,"2000","1199 HOSPITAL LEAGUE HEALTH CARE INDUSTRY PLANNING & PLACEMENT FUND","NY","HE",180000
"100",133916182,"2000","ASSOCIATION OF ATTENDING STAFF OF MT SINAI HOSPITAL INC","NY","HE",42000
"101",133963763,"2000","MSGR WILLIAM J BRADY MEMORIAL HOME ASSOCIATION INC","NY","HE",49300
"102",133967244,"2000","AMDEC POLICY GROUP INC","NY","HE",211786
"103",134132042,"2000","","","HE",38518
"104",136000129,"2000","ASSOCIATION FOR REASEARCH IN NERVOUS & MENTAL DISEASE INC","NY","HE",69751
"105",136110088,"2000","LOCAL 153 HEALTH FUND","NY","HE",7041861
"106",136130371,"2000","ULTRASONIC INDUSTRY ASSN INC","NJ","HE",3035
"107",136133997,"2000","PAST MASTERS ASSOCIATION OF THE 9TH MANHATTAN DISTRICT F & A M INC","NY","HE",375
"108",136165490,"2000","STONY POINT AMBULANCE CORPS INC","NY","HE",138732
"109",136203613,"2000","CONTACT LENS ASSOCIATION OF OPHTHALMOLOGISTS INC","LA","HE",284475
"110",136227058,"2000","ACCOUNTING RESEARCH ASSOCIATION INC","NJ","HE",500
"111",136266439,"2000","WORLD ASSOCIATION OF THE ALCOHOL BEVERAGE INDUSTRIES INC","TX","HE",40000
"112",141568253,"2000","NORTHERN METROPOLITAN HOSPITAL ASSOCIATION INC","NY","HE",302027
"113",141593876,"2000","FAMILY PLANNING ADVOCATES OF NEW YORK STATE INC C O LAURIE R ROCKET","NY","HE",27903
"114",141744619,"2000","RENSSELAER COUNTY AMBULANCE AND RESCUE ASSOC","NY","HE",605
"115",141745155,"2000","UPSTATE NEW YORK SOCIETY OF MEDICAL ONCOLOGY AND HEMATOLOGY INC","NY","HE",20000
"116",141768386,"2000","","","HE",8128
"117",141790964,"2000","SMITHFIELD EATON VOLUNTEER AMBULANCE CORP","NY","HE",9395
"118",146020400,"2000","NURSES ALUMNAE ASSOCIATION OF THE SCHOOL OF NURSING OF THE SAMARITAN","NY","HE",7310
"119",146024604,"2000","MEMORIAL HOSPITAL NURSES ALUMNI ASSOC INC","NY","HE",720
"120",146034318,"2000","UKRAINIAN AMERICAN CITIZENS CLUB INC","NY","HE",6405
"121",150253921,"2000","BROOME COUNTY MEDICAL SOCIETY","NY","HE",1650
"122",150406588,"2000","ONONDAGA COUNTY MEDICAL SOCIETY INC","NY","HE",16207
"123",150524107,"2000","NEW YORK STATE ACADEMY OF FAMILY PHYSICIANS","NY","HE",49608
"124",150529088,"2000","MEDICAL SOCIETY OF THE COUNTY OF ONEIDA","NY","HE",2750
"125",156011993,"2000","CAYUGA COUNTY MEDICAL SOCIETY","NY","HE",1530
"126",160712004,"2000","GENESEE VALLEY NURSES ASSN DIST 2 NY STATE NURSES ASSN","NY","HE",6002
"127",160742611,"2000","PHARMACISTS ASSOCIATION OF WESTERN NEW YORK","NY","HE",250
"128",160955709,"2000","TRI TOWN AMBULANCE SERVICE INC","NY","HE",3813
"129",160997396,"2000","YATES COUNTY FAMILY PLANNING SERVICES INC","NY","HE",279773
"130",161007402,"2000","MEDICAL SOCIETY OF THE COUNTY OF TOMPKINS INC","NY","HE",25550
"131",161059863,"2000","SCHUYLER COUNTY VOLUNTEER AMBULANCE ASSN INC","NY","HE",12475
"132",161063263,"2000","SPENCER EMERGENCY FIRST AID SQUAD INC","NY","HE",13666
"133",161126181,"2000","GREECE VOLUNTEER AMBULANCE SERVICE INC","NY","HE",176320
"134",161133983,"2000","FAMILY HEALTH NETWORK OF CENTRAL NEW YORK INC","NY","HE",1345312
"135",161355882,"2000","PERRY EMERGENCY AMBULANCE INC","NY","HE",18534
"136",161496729,"2000","CATO IRA MERIDIAN VICTORY AMBULANCE CORPS INC","NY","HE",32982
"137",166033661,"2000","MEDICAL SOCIETY OF THE COUNTY OF NIAGARA INC","NY","HE",1075
"138",166052236,"2000","BUFFALO CLUB FOR THE DEAF INC","NY","HE",1025
"139",166054690,"2000","CENTRAL NEW YORK ACADEMY OF MEDICINE INC","NY","HE",112615
"140",210653201,"2000","HOSPITALITY SALES AND MARKETING ASSOCIATION INTERNATIONAL INC","DC","HE",2800
"141",210716705,"2000","NEW JERSEY ASSOCIATION OF OSTEOPATHIC PHYSICIANS AND SURGEON","NJ","HE",1763
"142",210737081,"2000","MOORESTOWN FIRST AID AND EMERGENCY SQUAD INC","NJ","HE",116417
"143",216016294,"2000","GLENDORA RESCUE SQUAD","NJ","HE",73015
"144",221631744,"2000","MIDDLESEX CO DENTAL SOCIETY","NJ","HE",73347
"145",222137916,"2000","MIDDLESEX VALLEY VOLUNTEER AMBULANCE SERVICE INC C O GEORGE M","NY","HE",14519
"146",222167194,"2000","WESTERN NEW YORK STATE NURSERY & LANDSCAPE ASSOCIATION INC","NY","HE",6227
"147",222185005,"2000","SAYREVILLE ASSOCIATION FOR BRAIN INJURED CHILDREN","NJ","HE",50757
"148",222257708,"2000","NEW JERSEY OCCUPATIONAL THERAPY ASSOCIATION","NJ","HE",5791
"149",222308575,"2000","NATIONAL ASSOCIATION OF ORTHOPAEDIC NURSES INC","IL","HE",56000
"150",222369002,"2000","MANCHESTER TOWNSHIP FIRST AID AND RESCUE SQUAD INC","NJ","HE",356624
"151",222371253,"2000","GLENWOOD POCHUCK VOLUNTEER","NJ","HE",83866
"152",222417412,"2000","PARAMUS VOLUNTEER RESCUE SQUAD INC","NJ","HE",37103
"153",222419542,"2000","NEW JERSEY SOCIETY OF HOSPITAL PHARMACISTS","NJ","HE",72561
"154",222426882,"2000","OCEANPORT VOL FIRST AID AND RESCUE SQUAD","NJ","HE",67410
